disease,a,b,cosine,flagged
WOL,WOL.3,WOL.5,0.87370616,False
PTEN,PTEN.1,PTEN.5,0.87382466,False
CUS,CUS.1,CUS.5,0.87422585,False
CYS,CYS.1,CYS.4,0.8752084,False
COM,COM.2,COM.4,0.87564915,False
ZEL,ZEL.1,ZEL.2,0.87612355,False
OST,OST.1,OST.5,0.87631494,False
JUV,JUV.4,JUV.5,0.877237,False
CSY,CSY.1,CSY.2,0.877602,False
BOH,BOH.2,BOH.5,0.87879384,False
EPIE,EPIE.3,EPIE.5,0.87884486,False
LEP,LEP.4,LEP.7,0.87917835,False
BAI,BAI.2,BAI.5,0.87965024,False
CRIS,CRIS.1,CRIS.2,0.8797335,False
ALLA,ALLA.1,ALLA.2,0.8807611,False
ATYP,ATYP.1,ATYP.2,0.8812809,False
WOL,WOL.3,WOL.4,0.881753,False
GEO,GEO.1,GEO.5,0.88254464,False
PRIM,PRIM.1,PRIM.4,0.8831246,False
LEP,LEP.3,LEP.6,0.8837118,False
COND,COND.3,COND.5,0.8837564,False
ATYP,ATYP.1,ATYP.4,0.88386,False
TEMP,TEMP.1,TEMP.2,0.88518703,False
FANC,FANC.3,FANC.5,0.8852178,False
PTEN,PTEN.2,PTEN.3,0.8855397,False
WOL,WOL.2,WOL.4,0.88560987,False
ZEL,ZEL.2,ZEL.4,0.8876332,False
BAR,BAR.1,BAR.5,0.8876691,False
FANC,FANC.3,FANC.4,0.88792324,False
SAND,SAND.3,SAND.4,0.8881167,False
LEP,LEP.3,LEP.7,0.8884203,False
WAL,WAL.1,WAL.3,0.88890487,False
PON,PON.2,PON.5,0.8894674,False
JUV,JUV.3,JUV.4,0.8897627,False
CER,CER.2,CER.5,0.8898765,False
OST,OST.2,OST.5,0.8907993,False
ALL,ALL.3,ALL.5,0.8908203,False
WAL,WAL.2,WAL.4,0.8914695,False
MUL,MUL.2,MUL.5,0.8919288,False
SPI,SPI.2,SPI.3,0.89202964,False
MPS,MPS.2,MPS.5,0.89206856,False
PON,PON.4,PON.5,0.892185,False
SIA,SIA.4,SIA.5,0.89331716,False
CER,CER.1,CER.5,0.893686,False
SPI,SPI.4,SPI.5,0.8937149,False
MBO,MBO.4,MBO.5,0.89377207,False
BART,BART.1,BART.2,0.8938174,False
CHU,CHU.1,CHU.4,0.8939983,False
BEC,BEC.2,BEC.5,0.8941633,False
KRA,KRA.1,KRA.5,0.89426297,False
DIA,DIA.3,DIA.5,0.8948654,False
BARB,BARB.1,BARB.5,0.89525163,False
ALLA,ALLA.1,ALLA.5,0.89608973,False
KAW,KAW.2,KAW.3,0.8961344,False
BAR,BAR.2,BAR.4,0.89615,False
DOO,DOO.1,DOO.4,0.89664,False
CER,CER.3,CER.5,0.8967861,False
CYS,CYS.3,CYS.5,0.8973277,False
TEMP,TEMP.4,TEMP.5,0.89737284,False
CYS,CYS.3,CYS.4,0.8976636,False
TYR,TYR.1,TYR.2,0.8978927,False
MUL,MUL.3,MUL.5,0.8979391,False
CLE,CLE.3,CLE.4,0.8982264,False
MUL,MUL.1,MUL.4,0.8992811,False
MAP,MAP.2,MAP.5,0.89946544,False
OCH,OCH.1,OCH.4,0.8995346,False
BART,BART.4,BART.5,0.89959687,False
