feature,bias_224,iqr_224,bias_160,iqr_160,bias_128,iqr_128,bias_96,iqr_96,bias_64,iqr_64,res_drift_224
nose_tip_to_bridge_ratio,-0.01933296109552652,0.3019046948712948,-0.05440263060708947,0.5413439458200768,-0.11093349790127233,0.6298487610924902,-0.20631599711768894,0.8774291462837411,-0.4726346478985918,1.0494151071281712,0.01933296109552652
nose_tip_midline_dent,-0.021594565298558216,0.15638872528550912,-0.06827622412919229,0.2969959543435018,-0.0939835050234787,0.36598344220876433,-0.061072359237222755,0.4837150585136186,-0.0663507989492825,0.803306262694895,0.021594565298558216
nose_ala_height_r,0.009067562855553773,0.15047629747436259,0.014040136015136033,0.26653913629785414,0.013065336420746046,0.35821409559855505,0.012923524161809339,0.49180747979364803,0.05210587263315432,0.7536335700578309,0.009067562855553773
nose_ala_height_l,0.009507864396148539,0.17091224760152046,0.009471871653963966,0.26622310993674125,0.03897429263705823,0.37454706963638723,0.03936556647558913,0.5044683891547916,0.07739028015506888,0.7194786424104259,0.009507864396148539
nose_ala_height_mean,0.01255652378279445,0.161129626411939,0.010124736791227287,0.27097007746064283,0.020864105110207996,0.38674144418115913,0.019775851891529084,0.4755405409340385,0.09068068592617956,0.7574086171310714,0.01255652378279445
nose_ala_height_asym,-0.025153884404028756,0.26491060239382513,-0.05379734109726677,0.4762769353243034,-0.09535056943744168,0.6006763311982222,-0.13172865622785132,0.8169754641003063,-0.16899488663704826,1.2089226066853878,0.025153884404028756
nasolabial_angle,0.015437419497587083,0.1251947828146693,0.027158856127524538,0.2311384711834878,0.03379867662147316,0.27350581016125824,0.02405461721163346,0.4083135598658111,-0.0010965869507777969,0.6226087765965514,0.015437419497587083
nose_tip_elevation,0.043314732616521294,0.24034084380554482,0.09292022486643203,0.4452706043216273,0.11244171156159034,0.5841939976676411,0.08877945415709677,0.7539382476187845,0.07926662345024282,1.166879451319643,0.043314732616521294
ala_flare_angle,-0.01630234194170395,0.18787676609329246,-0.007360440642822022,0.27695617751303037,-0.017614833483545884,0.3840099071348228,0.005363777594561227,0.4650528432812377,-0.036736994100720025,0.7822181755954027,0.01630234194170395
columella_length,0.0810106058455362,0.22076951230210426,0.15753535660800538,0.4033209396068185,0.19514451191616955,0.5186446706587619,0.18499880746890665,0.6882926325378977,0.13079762260902517,1.028428609803172,0.0810106058455362
columella_hang_below_ala,0.014895629868435489,0.13583491848282236,0.003820670812201565,0.22998842484874307,0.00552682470102072,0.3126944012236693,-0.0013803135231698234,0.42615566771544755,0.007247260704212302,0.6876662870582348,0.014895629868435489
